step,value
0,0.5544041395187378
1,0.3606557250022888
2,0.44117647409439087
3,0.2989690601825714
4,0.3604061007499695
5,0.44600939750671387
6,0.400943398475647
7,0.4272300601005554
8,0.47598254680633545
9,0.41706159710884094
10,0.47727271914482117
11,0.4585152864456177
12,0.4849785268306732
13,0.5066666603088379
14,0.49561402201652527
15,0.5319148898124695
16,0.5319148898124695
17,0.5708501935005188
18,0.6190476417541504
19,0.5022026300430298
20,0.586345374584198
21,0.5799999833106995
22,0.5394191145896912
23,0.5933610200881958
24,0.5921568870544434
25,0.5849802494049072
26,0.6033057570457458
27,0.6162790656089783
28,0.6200000047683716
29,0.6463878154754639
30,0.6081632375717163
31,0.6299212574958801
32,0.6185185313224792
33,0.623481810092926
34,0.6450381875038147
35,0.5960000157356262
36,0.6394051909446716
37,0.6513410210609436
38,0.6753731369972229
39,0.6297709941864014
40,0.6642066240310669
41,0.6328125
42,0.6678966879844666
43,0.6513410210609436
44,0.6891385912895203
45,0.6881720423698425
46,0.7153284549713135
47,0.7103448510169983
48,0.6392157077789307
49,0.7194244861602783
50,0.7163636088371277
51,0.7177700400352478
52,0.7481752038002014
53,0.6702898740768433
54,0.7241379022598267
55,0.7231833934783936
56,0.7208480834960938
57,0.6985294222831726
58,0.6739926934242249
59,0.6666666865348816
60,0.7096773982048035
61,0.7013888955116272
62,0.7148289084434509
63,0.6402877569198608
64,0.6948529481887817
65,0.7056737542152405
66,0.6654411554336548
67,0.7346938848495483
68,0.7147887349128723
69,0.7707641124725342
70,0.7363013625144958
71,0.692307710647583
72,0.73758864402771
73,0.7122302055358887
74,0.6832740306854248
75,0.7071428298950195
76,0.6920289993286133
77,0.7152542471885681
78,0.7279151678085327
79,0.7532894611358643
80,0.6985815763473511
81,0.6892856955528259
82,0.7025089859962463
83,0.7010676264762878
84,0.7421602606773376
85,0.7043189406394958
86,0.7541528344154358
87,0.7875816822052002
88,0.7793594598770142
89,0.7312925457954407
90,0.75
91,0.7664473652839661
92,0.7623762488365173
93,0.7903780341148376
94,0.7430555820465088
95,0.7708333134651184
96,0.7434210777282715
97,0.7553191781044006
98,0.7417218685150146
99,0.7661017179489136
100,0.7932203412055969
101,0.7236841917037964
102,0.7868852615356445
103,0.7641196250915527
104,0.7676767706871033
105,0.747474730014801
106,0.8006430864334106
107,0.758169949054718
108,0.8253012299537659
109,0.8006535768508911
110,0.7933333516120911
111,0.7791798114776611
112,0.7875816822052002
113,0.8204334378242493
114,0.8095238208770752
115,0.7746031880378723
